year,state,SDP,SDP_NORM
2011,ARUNACHAL PRADESH,4983,10229
2011,ASSAM,66942,129354
2011,BIHAR,129521,228497
2011,GOA,23279,38009
2011,GUJARAT,336886,532809
2011,HARYANA,158523,271152
2011,HIMACHAL PRADESH,33955,60536
2011,JAMMU & KASHMIR,33990,65319
2011,JHARKHAND,80157,137383
2011,KARNATAKA,248040,554952
2011,KERALA,176915,328021
2011,MADHYA PRADESH,169600,282371
2011,CHHATTISGARH,69265,142273
2011,MAHARASHTRA,695904,1126595
2011,MANIPUR,6412,11501
2011,MEGHALAYA,10303,18028
2011,MIZORAM,4405,6404
2011,NAGALAND,9291,10554
2011,ORISSA,103628,204226
2011,PUNJAB,136987,239227
2011,RAJASTHAN,202749,395331
2011,SIKKIM,4548,9742
2011,TAMIL NADU,386508,674478
2011,TRIPURA,14421,17419
2011,UTTAR PRADESH,365375,645132
2011,UTTARAKHAND,52748,101960
2011,WEST BENGAL,289432,473205
2011,ANDAMAN & NICOBAR ISLANDS,3431,3404
2011,CHANDIGARH,11959,16930
2011,DELHI,180722,314650
2011,PUDUCHERRY,10174,15160
2011,TELANGANA,160602,325139
2012,ANDHRA PRADESH,341335,341335
2012,ARUNACHAL PRADESH,10399,10399
2012,ASSAM,132518,132518
2012,BIHAR,236933,236933
2012,GOA,32453,32453
2012,GUJARAT,596659,596659
2012,HARYANA,289756,289756
2012,HIMACHAL PRADESH,64519,64519
2012,JAMMU & KASHMIR,67316,67316
2012,JHARKHAND,149526,149526
2012,KARNATAKA,593192,593192
2012,KERALA,348616,348616
2012,MADHYA PRADESH,306853,306853
2012,CHHATTISGARH,148760,148760
2012,MAHARASHTRA,1189711,1189711
2012,MANIPUR,11515,11515
2012,MEGHALAYA,18323,18323
2012,MIZORAM,6836,6836
2012,NAGALAND,11163,11163
2012,ORISSA,216301,216301
2012,PUNJAB,251813,251813
2012,RAJASTHAN,409802,409802
2012,SIKKIM,9970,9970
2012,TAMIL NADU,709343,709343
2012,TRIPURA,18857,18857
2012,UTTAR PRADESH,673552,673552
2012,UTTARAKHAND,109528,109528
2012,WEST BENGAL,492901,492901
2012,ANDAMAN & NICOBAR ISLANDS,3558,3558
2012,CHANDIGARH,18305,18305
2012,DELHI,334193,334193
2012,PUDUCHERRY,15507,15507
2012,TELANGANA,334205,334205
2013,ANDHRA PRADESH,360239,360239
2013,ARUNACHAL PRADESH,11226,11226
2013,ASSAM,138725,138725
2013,BIHAR,246915,246915
2013,GOA,27971,27971
2013,GUJARAT,641489,641489
2013,HARYANA,314931,314931
2013,HIMACHAL PRADESH,69398,69398
2013,JAMMU & KASHMIR,70536,70536
